run_id,run_date,scored_at,country_iso3,composite,coverage,growth_momentum,external_balance,monetary_stance,risk_sentiment,news_heat_sigma
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,BRA,0.1800,1.00,-0.6106,0.5902,-0.0521,0.8064,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,CHL,,0.25,,,,0.0379,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,COL,,0.25,,,,0.8292,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,CZE,,0.25,,,,0.1580,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,EGY,,0.25,,,,-0.2153,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,IDN,,0.25,,,,-0.1244,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,IND,,0.25,,,,-0.2546,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,KEN,,0.25,,,,0.2353,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,MEX,,0.25,,,,0.2274,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,NGA,-0.2100,1.00,-0.3135,-0.0628,-0.9970,0.5333,2.60
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,POL,0.3500,1.00,0.7180,0.6464,-0.1473,0.1738,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,SAU,,0.25,,,,0.2369,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,THA,,0.25,,,,0.1314,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,TUR,0.2300,1.00,0.5022,0.5413,-0.5137,0.3759,
9a8cc335f8b54bd6,2026-04-12,2026-04-13T01:04:48.238838+00:00,ZAF,0.3600,1.00,0.4777,1.3859,-0.6483,0.2167,
